"Rk","Team","Date","PTS","Venue","Opp","UNC_MP","UNC_FG","UNC_FGA","UNC_FG_pct","UNC_2P","UNC_2PA","UNC_2P_pct","UNC_3P","UNC_3PA","UNC_3P_pct","UNC_FT","UNC_FTA","UNC_FT_pct","Duke_FG","Duke_FGA","Duke_FG_pct","Duke_2P","Duke_2PA","Duke_2P_pct","Duke_3P","Duke_3PA","Duke_3P_pct","Duke_FT","Duke_FTA","Duke_FT_pct","Win_Loss","UNC_PTS","Duke_PTS","Season","FT_pct_margin"
"1","North Carolina",2025-03-14,"71","Neutral","Duke",200,26,55,0.473,23,38,0.605,3,17,0.176,16,24,0.667,27,55,0.491,22,33,0.667,5,22,0.227,15,22,0.682,"L",71,74,"2024-2025",-0.015
"2","North Carolina",2025-03-08,"69","Smith Center","Duke",200,25,64,0.391,16,37,0.432,9,27,0.333,10,11,0.909,31,55,0.564,22,36,0.611,9,19,0.474,11,13,0.846,"L",69,82,"2024-2025",0.063
"3","North Carolina",2025-02-01,"70","Cameron Indoor","Duke",200,26,55,0.473,19,36,0.528,7,19,0.368,11,14,0.786,28,53,0.528,18,33,0.545,10,20,0.5,21,25,0.84,"L",70,87,"2024-2025",-0.0539999999999999
"4","North Carolina",2024-03-09,"84","Cameron Indoor","Duke",200,31,62,0.5,24,47,0.511,7,15,0.467,15,18,0.833,26,60,0.433,17,37,0.459,9,23,0.391,18,24,0.75,"W",84,79,"2023-2024",0.083
"5","North Carolina",2024-02-03,"93","Smith Center","Duke",200,33,66,0.5,24,42,0.571,9,24,0.375,18,25,0.72,35,69,0.507,30,50,0.6,5,19,0.263,9,11,0.818,"W",93,84,"2023-2024",-0.098
"6","North Carolina",2023-03-04,"57","Smith Center","Duke",200,17,56,0.304,12,33,0.364,5,23,0.217,18,21,0.857,22,58,0.379,18,45,0.4,4,13,0.308,14,18,0.778,"L",57,62,"2022-2023",0.079
"7","North Carolina",2023-02-04,"57","Cameron Indoor","Duke",200,24,70,0.343,17,43,0.395,7,27,0.259,2,3,0.667,24,61,0.393,20,50,0.4,4,11,0.364,11,15,0.733,"L",57,63,"2022-2023",-0.066
"8","North Carolina",2022-04-02,"81","Neutral","Duke",200,27,64,0.422,17,38,0.447,10,26,0.385,17,24,0.708,30,72,0.417,25,50,0.5,5,22,0.227,12,20,0.6,"W",81,77,"2021-2022",0.108
"9","North Carolina",2022-03-05,"94","Cameron Indoor","Duke",200,33,68,0.485,24,45,0.533,9,23,0.391,19,22,0.864,34,69,0.493,27,50,0.54,7,19,0.368,6,8,0.75,"W",94,81,"2021-2022",0.114
"10","North Carolina",2022-02-05,"67","Smith Center","Duke",200,24,59,0.407,15,36,0.417,9,23,0.391,10,15,0.667,34,59,0.576,25,40,0.625,9,19,0.474,10,13,0.769,"L",67,87,"2021-2022",-0.102
"11","North Carolina",2021-03-06,"91","Smith Center","Duke",200,31,56,0.554,23,38,0.605,8,18,0.444,21,26,0.808,28,69,0.406,23,42,0.548,5,27,0.185,12,16,0.75,"W",91,73,"2020-2021",0.058
"12","North Carolina",2021-02-06,"91","Cameron Indoor","Duke",200,34,64,0.531,24,49,0.49,10,15,0.667,13,22,0.591,36,67,0.537,25,42,0.595,11,25,0.44,4,7,0.571,"W",91,87,"2020-2021",0.02
"13","North Carolina",2020-03-07,"76","Cameron Indoor","Duke",200,29,71,0.408,25,59,0.424,4,12,0.333,14,20,0.7,25,53,0.472,15,32,0.469,10,21,0.476,29,33,0.879,"L",76,89,"2019-2020",-0.179
"14","North Carolina",2020-02-08,"96","Smith Center","Duke",225,36,69,0.522,33,57,0.579,3,12,0.25,21,38,0.553,34,80,0.425,30,62,0.484,4,18,0.222,26,34,0.765,"L",96,NA,"2019-2020",-0.212
"15","North Carolina",2019-03-15,"73","Neutral","Duke",200,29,73,0.397,25,47,0.532,4,26,0.154,11,15,0.733,31,65,0.477,26,45,0.578,5,20,0.25,7,13,0.538,"L",73,74,"2018-2019",0.195
"16","North Carolina",2019-03-09,"79","Smith Center","Duke",200,30,74,0.405,18,43,0.419,12,31,0.387,7,13,0.538,25,73,0.342,17,41,0.415,8,32,0.25,12,17,0.706,"W",79,70,"2018-2019",-0.168
"17","North Carolina",2019-02-20,"88","Cameron Indoor","Duke",200,38,75,0.507,36,55,0.655,2,20,0.1,10,14,0.714,25,72,0.347,17,33,0.515,8,39,0.205,14,19,0.737,"W",88,72,"2018-2019",-0.023
"18","North Carolina",2018-03-09,"74","Neutral","Duke",200,28,71,0.394,21,47,0.447,7,24,0.292,11,15,0.733,22,54,0.407,16,31,0.516,6,23,0.261,19,23,0.826,"W",74,69,"2017-2018",-0.093
"19","North Carolina",2018-03-03,"64","Cameron Indoor","Duke",200,26,70,0.371,18,39,0.462,8,31,0.258,4,5,0.8,28,62,0.452,19,37,0.514,9,25,0.36,9,20,0.45,"L",64,74,"2017-2018",0.35
"20","North Carolina",2018-02-08,"82","Smith Center","Duke",200,30,77,0.39,19,44,0.432,11,33,0.333,11,13,0.846,30,62,0.484,21,37,0.568,9,25,0.36,9,12,0.75,"W",82,78,"2017-2018",0.096
"21","North Carolina",2017-03-10,"83","Neutral","Duke",200,32,78,0.41,27,56,0.482,5,22,0.227,14,18,0.778,25,50,0.5,15,33,0.455,10,17,0.588,33,37,0.892,"L",83,93,"2016-2017",-0.114
"22","North Carolina",2017-03-04,"90","Smith Center","Duke",200,34,67,0.507,28,50,0.56,6,17,0.353,16,21,0.762,24,54,0.444,17,35,0.486,7,19,0.368,28,35,0.8,"W",90,83,"2016-2017",-0.038
"23","North Carolina",2017-02-09,"78","Cameron Indoor","Duke",200,32,61,0.525,28,49,0.571,4,12,0.333,10,18,0.556,30,57,0.526,17,30,0.567,13,27,0.481,13,16,0.813,"L",78,86,"2016-2017",-0.257
"24","North Carolina",2016-03-05,"76","Cameron Indoor","Duke",200,26,73,0.356,22,50,0.44,4,23,0.174,20,23,0.87,25,67,0.373,12,33,0.364,13,34,0.382,9,15,0.6,"W",76,72,"2015-2016",0.27
"25","North Carolina",2016-02-17,"73","Smith Center","Duke",200,30,70,0.429,29,57,0.509,1,13,0.077,12,15,0.8,27,65,0.415,20,46,0.435,7,19,0.368,13,16,0.813,"L",73,74,"2015-2016",-0.0129999999999999
"26","North Carolina",2015-03-07,"77","Smith Center","Duke",200,28,58,0.483,20,42,0.476,8,16,0.5,13,13,1,27,59,0.458,18,34,0.529,9,25,0.36,21,26,0.808,"L",77,84,"2014-2015",0.192
"27","North Carolina",2015-02-18,"90","Cameron Indoor","Duke",225,38,83,0.458,36,73,0.493,2,10,0.2,12,20,0.6,33,65,0.508,23,49,0.469,10,16,0.625,16,31,0.516,"L",90,NA,"2014-2015",0.084
"28","North Carolina",2014-03-08,"81","Cameron Indoor","Duke",200,31,52,0.596,26,40,0.65,5,12,0.417,14,19,0.737,29,57,0.509,21,34,0.618,8,23,0.348,27,31,0.871,"L",81,93,"2013-2014",-0.134
"29","North Carolina",2014-02-20,"74","Smith Center","Duke",200,26,55,0.473,24,46,0.522,2,9,0.222,20,31,0.645,27,63,0.429,22,41,0.537,5,22,0.227,7,12,0.583,"W",74,66,"2013-2014",0.062
"30","North Carolina",2013-03-09,"53","Smith Center","Duke",200,21,62,0.339,20,48,0.417,1,14,0.071,10,13,0.769,27,49,0.551,22,34,0.647,5,15,0.333,10,12,0.833,"L",53,69,"2012-2013",-0.064
"31","North Carolina",2013-02-13,"68","Cameron Indoor","Duke",200,25,66,0.379,20,48,0.417,5,18,0.278,13,23,0.565,25,56,0.446,19,40,0.475,6,16,0.375,17,20,0.85,"L",68,73,"2012-2013",-0.285
"32","North Carolina",2012-03-03,"88","Cameron Indoor","Duke",200,36,66,0.545,32,53,0.604,4,13,0.308,12,15,0.8,26,63,0.413,20,42,0.476,6,21,0.286,12,21,0.571,"W",88,70,"2011-2012",0.229
"33","North Carolina",2012-02-08,"84","Smith Center","Duke",200,31,63,0.492,30,57,0.526,1,6,0.167,21,30,0.7,27,62,0.435,13,26,0.5,14,36,0.389,17,26,0.654,"L",84,85,"2011-2012",0.0459999999999999
"34","North Carolina",2011-03-13,"58","Neutral","Duke",200,21,62,0.339,19,54,0.352,2,8,0.25,14,21,0.667,29,58,0.5,20,38,0.526,9,20,0.45,8,15,0.533,"L",58,75,"2010-2011",0.134
"35","North Carolina",2011-03-05,"81","Smith Center","Duke",200,33,63,0.524,29,54,0.537,4,9,0.444,11,21,0.524,22,62,0.355,16,35,0.457,6,27,0.222,17,22,0.773,"W",81,67,"2010-2011",-0.249
"36","North Carolina",2011-02-09,"73","Cameron Indoor","Duke",200,29,68,0.426,27,54,0.5,2,14,0.143,13,22,0.591,28,68,0.412,20,42,0.476,8,26,0.308,15,23,0.652,"L",73,79,"2010-2011",-0.061
"37","North Carolina",2010-03-06,"50","Cameron Indoor","Duke",200,16,48,0.333,15,43,0.349,1,5,0.2,17,26,0.654,26,57,0.456,18,36,0.5,8,21,0.381,22,23,0.957,"L",50,82,"2009-2010",-0.303
"38","North Carolina",2010-02-10,"54","Smith Center","Duke",200,20,58,0.345,15,39,0.385,5,19,0.263,9,16,0.563,22,69,0.319,13,51,0.255,9,18,0.5,11,18,0.611,"L",54,64,"2009-2010",-0.048
"39","North Carolina",2009-03-08,"79","Smith Center","Duke",200,28,53,0.528,22,41,0.537,6,12,0.5,17,25,0.68,22,50,0.44,14,29,0.483,8,21,0.381,19,27,0.704,"W",79,71,"2008-2009",-0.0239999999999999
"40","North Carolina",2009-02-11,"101","Cameron Indoor","Duke",200,34,62,0.548,28,47,0.596,6,15,0.4,27,31,0.871,34,70,0.486,26,46,0.565,8,24,0.333,11,18,0.611,"W",101,87,"2008-2009",0.26
"41","North Carolina",2008-03-08,"76","Cameron Indoor","Duke",200,31,76,0.408,26,65,0.4,5,11,0.455,9,12,0.75,25,76,0.329,15,47,0.319,10,29,0.345,8,9,0.889,"W",76,68,"2007-2008",-0.139
"42","North Carolina",2008-02-06,"78","Smith Center","Duke",200,28,69,0.406,25,52,0.481,3,17,0.176,19,30,0.633,30,66,0.455,17,37,0.459,13,29,0.448,16,27,0.593,"L",78,89,"2007-2008",0.04
"43","North Carolina",2007-03-04,"86","Smith Center","Duke",200,31,62,0.5,29,53,0.547,2,9,0.222,22,27,0.815,27,64,0.422,20,41,0.488,7,23,0.304,11,16,0.688,"W",86,72,"2006-2007",0.127
"44","North Carolina",2007-02-07,"79","Cameron Indoor","Duke",200,31,61,0.508,28,49,0.571,3,12,0.25,14,18,0.778,27,63,0.429,20,45,0.444,7,18,0.389,12,19,0.632,"W",79,73,"2006-2007",0.146
"45","North Carolina",2006-03-04,"83","Cameron Indoor","Duke",200,30,68,0.441,25,52,0.481,5,16,0.313,18,23,0.783,29,70,0.414,22,44,0.5,7,26,0.269,11,15,0.733,"W",83,76,"2005-2006",0.05
"46","North Carolina",2006-02-07,"83","Smith Center","Duke",200,27,67,0.403,21,52,0.404,6,15,0.4,23,29,0.793,29,59,0.492,19,39,0.487,10,20,0.5,19,24,0.792,"L",83,87,"2005-2006",0.001
"47","North Carolina",2005-03-06,"75","Smith Center","Duke",200,27,67,0.403,26,56,0.464,1,11,0.091,20,26,0.769,26,56,0.464,15,27,0.556,11,29,0.379,10,19,0.526,"W",75,73,"2004-2005",0.243
"48","North Carolina",2005-02-09,"70","Cameron Indoor","Duke",200,25,57,0.439,22,43,0.512,3,14,0.214,17,23,0.739,20,56,0.357,10,31,0.323,10,25,0.4,21,22,0.955,"L",70,71,"2004-2005",-0.216
